name,restaurant,date,STUDENT,DOCTORANT,CAMPUS,VISITOR
Cocotte de pasta aux champignons et petits pois,Piano ,2022-10-27,8.1,8.8,9.9,11.3
Risotto pesto di basilico et Gamberi ,Piano ,2022-10-27,9.7,12.1,13.2,15.2
RICE POKE BOWLS (Riz sushi  jeunes pousses  Carottes colorées  Choux fleur pickles  Radis  Concombre  Julienne de pois gourmand  Wakame  Pousse de soja  Tofu frit et Poulet croustillant  Tempura de légumes),Zaha,2022-10-27,12.5,8.2,8.2,8.2
NODDLES POE BOWLS (Nouilles Soba  Maïs et pois  Choux rouges  Pousse mango  Julienne de pois gourmand  Basilic Thaï  Carottes croquantes et Crevettes parfumées),Zaha,2022-10-27,8.2,8.2,8.2,8.2
Crème à la Courge et sa garniture			 Huile de courge ,Alpine,2022-10-28,8.1,8.8,9.9,11.3
Halloumi marinés à l'Oriental Pois-chiches au thym Courgettes safranées,Alpine,2022-10-28,8.6,9.9,11.0,12.4
Filet cabillaud sauvage du Pacifique MSC à la Thaï Riz parfumé aux légumes,Alpine,2022-10-28,11.5,12.0,12.5,13.5
Rôti de Porc Suisse  sauce moutarde Pommes sautées Méli-mélo de légumes,Alpine,2022-10-28,12.5,13.0,13.5,14.5
Ravioli ricotta et basilic  sauce tomate et pousses d'épinards,Arcadie,2022-10-28,10.0,12.0,12.0,12.0
Lasagne aux légumes,Arcadie,2022-10-28,8.1,8.8,9.9,11.3
Menu servi à l'Alpine du FoodLab,Ginko,2022-10-28,11.5,12.0,12.5,13.5
Tacos végétarien (Haché végétarien  Cheddar  Maïs et sauce tomate),Hopper,2022-10-28,8.1,9.9,11.0,13.6
Lieu Bordelaise Pommes natures Escabèche de poireaux,La Ruche,2022-10-28,11.0,12.0,13.0,14.0
Pizza polenta Mozzarella et coulis de tomates Légumes grillés,La Ruche,2022-10-28,10.0,11.0,12.0,13.0
Pâtes au Gorgonzolla et noix,La Ruche,2022-10-28,7.5,12.0,12.0,12.0
[Swiss Burger] Pain bun  crème de moutarde à l’ancienne  gruyère  coleslaw  oignons frits  sucrine  bœuf braisé au vin rouge - Servi avec Twisted potatoes ou Légumes ou Salade mêlée ,La Table de Vallotton by Novae,2022-10-28,13.0,16.0,16.0,16.0
[Mexican Veggie Burger] Pain bun  mayonnaise au curry  cheddar  tomates  sucrine  galette de haricots rouges et coriandre - Servi avec Twisted potatoes ou Légumes ou Salade mêlée ,La Table de Vallotton by Novae,2022-10-28,13.0,16.0,16.0,16.0
[La Pasta] Tagliatelles  champignon du moment  roquette  parmesan  chips de bacon,La Table de Vallotton by Novae,2022-10-28,14.0,17.0,17.0,17.0
[La Pasta Veggie] Penne  champignon du moment  crème de Grana Padano  roquette  chips de parmesan,La Table de Vallotton by Novae,2022-10-28,13.0,16.0,16.0,16.0
[La Salade Veggie] Salade César avec sucrine  tomates cerises  parmesan  croûtons  sauce César  quorn  oeuf ,La Table de Vallotton by Novae,2022-10-28,15.0,18.0,18.0,18.0
[La Pièce du Boucher] Entrecôte parisienne (220gr)  beurre maître d’hôtel - Servie avec Twisted potatoes ou Légumes ou Salade mêlée,La Table de Vallotton by Novae,2022-10-28,22.0,25.0,25.0,25.0
[La Pièce du Primeur] Aubergine grillée  jus corsé curry-tomate  riz jasmin parfumé à la cannelle  sauce raïta,La Table de Vallotton by Novae,2022-10-28,19.0,22.0,22.0,22.0
[Le Ceviche] Coriandre  zestes et jus de citron vert  piment rouge  gingembre  tabasco  daurade  pain toasté - Servi avec Twisted potatoes ou Légumes ou Salade mêlée,La Table de Vallotton by Novae,2022-10-28,22.0,25.0,25.0,25.0
Mijoté de porc aux citrons confit  pomme de terre rôti et carotte vapeur,Le Klee by Novae,2022-10-28,10.0,11.0,12.0,13.0
Beignet de colin  sauce tartare  pommes frites,Microcity,2022-10-28,10.5,12.0,13.0,14.0
Kebab au planted épicé  crudités  sauce raita  pommes frites,Microcity,2022-10-28,10.5,12.0,13.0,14.0
Pizza napolitaine  salade roquette  soupe ou salade verte,Microcity,2022-10-28,8.1,8.8,9.9,11.3
Salade d'automne: Endives  pommes de terre  gruyère  oignons  noix,Microcity,2022-10-28,12.0,12.0,12.0,12.0
Boulettes by Native  riz aux petits légumes  panais rôti et sauce crémeuse aux choux fleurs,Native,2022-10-28,11.3,12.1,12.6,14.1
Moules marinières et frites,Ornithorynque,2022-10-28,12.0,13.5,14.5,15.5
Rösti pizza aux aubergines  courgettes  tomates  poivrons et mozzarella,Ornithorynque,2022-10-28,8.0,9.5,9.9,10.9
[Orni Kebab] Emincé de poulet à la libanaise  sauce yoghourt au cumin et garnitures,Ornithorynque,2022-10-28,9.5,10.5,11.0,12.0
Choucroute garnie (saucisse  palette  lard fumé  saucisson vaudois),Ornithorynque,2022-10-28,9.5,10.5,11.0,12.0
Nouilles sautées aux légumes  pousses de soja et cacahuètes,Ornithorynque,2022-10-28,7.0,8.0,8.8,10.0
Penne proschiutto et Rucola,Piano ,2022-10-28,8.6,9.9,11.0,13.5
Saumon mariné et cuit à l'unilatérale  riz sauvage et courgettes grillées,Piano ,2022-10-28,13.8,14.9,14.9,16.9
Cocotte de risotto di Gamberi ,Piano ,2022-10-28,8.1,8.8,9.9,11.3
Penne proschiutto et Rucola,Piano ,2022-10-28,9.7,12.1,13.2,15.2
RICE POKE BOWLS (Riz sushi  jeunes pousses  Carottes colorées  Choux fleur pickles  Radis  Concombre  Julienne de pois gourmand  Wakame  Pousse de soja  Tofu frit et Poulet croustillant  Tempura de légumes),Zaha,2022-10-28,12.5,8.2,8.2,8.2
NODDLES POE BOWLS (Nouilles Soba  Maïs et pois  Choux rouges  Pousse mango  Julienne de pois gourmand  Basilic Thaï  Carottes croquantes et Crevettes parfumées),Zaha,2022-10-28,8.2,8.2,8.2,8.2
Mijoté de porc aux citrons confit  pomme de terre rôti et carotte vapeur,Le Klee by Novae,2022-10-29,10.0,11.0,12.0,13.0
Mijoté de porc aux citrons confit  pomme de terre rôti et carotte vapeur,Le Klee by Novae,2022-10-30,10.0,11.0,12.0,13.0
Velouté de choux-fleurs et sa garniture			 Condiments ,Alpine,2022-10-31,8.1,8.8,9.9,11.3
Tortelini de bœuf Suisse Sauce napoli au basilic Salade du jour,Alpine,2022-10-31,8.6,9.9,11.0,12.4
Boulettes d'agneau et boeuf Suisse garantie  jus à la provençal Nouilles fines  Sommité de brocoli,Alpine,2022-10-31,12.5,13.0,13.5,13.5
Cuisse de Poulet Suisse Tandoori Riz au curcuma  Épinard Massala,Alpine,2022-10-31,11.5,12.0,12.5,13.5
Fusilli al ferretto  amandes  Pecorino Romano  courge confite à l'huile d'olive Bio,Arcadie,2022-10-31,10.0,12.0,12.0,12.0
Lasagne végétarienne,Arcadie,2022-10-31,8.1,8.8,9.9,11.3
Boulettes de boeuf Suisse Sauce tomate et basilic Riz au curcuma et vénéré,Esplanade,2022-10-31,8.6,9.9,11.0,12.4
Curry Massaman au Poulet Suisse Riz Thaï et légumes,Ginko,2022-10-31,11.5,12.0,12.5,13.5
Tacos végétarien (Haché végétarien  Cheddar  BBQ et sauce tomate),Hopper,2022-10-31,8.1,9.9,11.0,13.6
Kébab végétarien Pain pita  sauce yogourt  crudités  taboulé libanais ,La Ruche,2022-10-31,11.0,12.0,13.0,14.0
Jambalaya aux épices cajun Légumes façon Louisiane ,La Ruche,2022-10-31,10.0,11.0,12.0,13.0
Tortelloni Sauce aux herbes et fromage,La Ruche,2022-10-31,7.5,12.0,12.0,12.0
[Swiss Burger] Pain bun  crème de moutarde à l’ancienne  gruyère  coleslaw  oignons frits  sucrine  bœuf braisé au vin rouge - Servi avec Twisted potatoes ou Légumes ou Salade mêlée ,La Table de Vallotton by Novae,2022-10-31,13.0,16.0,16.0,16.0
[Mexican Veggie Burger] Pain bun  mayonnaise au curry  cheddar  tomates  sucrine  galette de haricots rouges et coriandre - Servi avec Twisted potatoes ou Légumes ou Salade mêlée ,La Table de Vallotton by Novae,2022-10-31,13.0,16.0,16.0,16.0
[La Pasta] Tagliatelles  champignon du moment  roquette  parmesan  chips de bacon,La Table de Vallotton by Novae,2022-10-31,14.0,17.0,17.0,17.0
[La Pasta Veggie] Penne  champignon du moment  crème de Grana Padano  roquette  chips de parmesan,La Table de Vallotton by Novae,2022-10-31,13.0,16.0,16.0,16.0
[La Salade Veggie] Salade César avec sucrine  tomates cerises  parmesan  croûtons  sauce César  quorn  oeuf ,La Table de Vallotton by Novae,2022-10-31,15.0,18.0,18.0,18.0
[La Pièce du Boucher] Entrecôte parisienne (220gr)  beurre maître d’hôtel - Servie avec Twisted potatoes ou Légumes ou Salade mêlée,La Table de Vallotton by Novae,2022-10-31,22.0,25.0,25.0,25.0
[La Pièce du Primeur] Aubergine grillée  jus corsé curry-tomate  riz jasmin parfumé à la cannelle  sauce raïta,La Table de Vallotton by Novae,2022-10-31,19.0,22.0,22.0,22.0
[Le Ceviche] Coriandre  zestes et jus de citron vert  piment rouge  gingembre  tabasco  daurade  pain toasté - Servi avec Twisted potatoes ou Légumes ou Salade mêlée,La Table de Vallotton by Novae,2022-10-31,22.0,25.0,25.0,25.0
Poulet Basquaise (poivrons  oignons  tomate)  tagliatelle ,Le Klee by Novae,2022-10-31,10.0,11.0,12.0,13.0
Papet vaudois  pommes de terre vapeur  poireaux,Microcity,2022-10-31,10.5,12.0,13.0,14.0
Quiche aux épinards  pommes grenailles  salade verte ou soupe,Microcity,2022-10-31,10.5,12.0,13.0,14.0
Penne au pesto basilic et mozzarella,Microcity,2022-10-31,8.1,8.8,9.9,11.3
Salade piémontaise  pommes de terre  oeuf  jambon  sauce tartare,Microcity,2022-10-31,12.0,12.0,12.0,12.0
Gnocchi de pomme de terre Maïs rôti et sa sauce crémeuse à la carotte,Native,2022-10-31,11.3,12.1,12.6,14.1
Saucisse de porc rôtie  polenta et chou rouge confit aux pommes,Ornithorynque,2022-10-31,12.0,13.5,14.5,15.5
Quiche aux oignons et potimarron  salade mêlée,Ornithorynque,2022-10-31,8.0,9.5,9.9,10.9
Fish and Chips  sauce tartare et citron,Ornithorynque,2022-10-31,9.5,10.5,11.0,12.0
Penne  sauce aux champignons de Paris et Grana Padano,Ornithorynque,2022-10-31,7.0,8.0,8.8,10.0
Linguine verde Alla carbonara,Piano ,2022-10-31,8.6,9.9,11.0,13.5
Osso Bucco de porc à la tomate et basilic  Blésotto au grana et aubergines rôties et tomates,Piano ,2022-10-31,13.8,14.9,14.9,16.9
Cocotte de Risoni sauce Napolitaine et mozzarella ,Piano ,2022-10-31,8.1,8.8,9.9,11.3
Linguine verde Alla carbonara,Piano ,2022-10-31,9.7,12.1,13.2,15.2
NODDLES POE BOWLS (Nouilles Soba  Maïs et pois  Choux rouges  Pousse mango  Julienne de pois gourmand  Basilic Thaï  Carottes croquantes et Tofu frit),Zaha,2022-10-31,8.2,8.2,8.2,8.2
Velouté de choux-fleurs et sa garniture			 Condiments ,Alpine,2022-11-01,8.1,8.8,9.9,11.3
Orecchiette  sauce au gorgonzola Cerneaux de noix torréfiés Salade du jour,Alpine,2022-11-01,8.6,9.9,11.0,12.4
"Torilla ""Maison""  pommes de terre et légumes  Sauce tomate Salade du jour",Alpine,2022-11-01,11.5,12.0,12.5,13.5
